timestamp,pids,cpu_delta_s,mem_mb,errors_delta,errors_total,trades_delta,trades_total,restarts_total,log_bytes
2025-12-29T12:23:31.7181120+05:00,,0,0,0,13,15,2439,4,727661
2025-12-29T12:23:41.8383969+05:00,,0,0,0,13,15,2454,4,730149
2025-12-29T12:23:51.9283751+05:00,,0,0,0,13,15,2469,4,732647
2025-12-29T12:24:02.0163079+05:00,,0,0,0,13,12,2481,4,734641
2025-12-29T12:24:05.9355280+05:00,8692,0,0,0,13,0,2487,0,0,0,,735638
2025-12-29T12:24:12.1155910+05:00,,0,0,0,13,15,2496,4,737135
2025-12-29T13:02:06.0117443+05:00,restart,ultra_aggressive,BTCUSD#
2025-12-29T13:19:20.4408300+05:00,,0,0,13,13,2523,2523,0,741617
2025-12-29T13:19:30.6582640+05:00,,0,0,0,13,15,2538,0,744114
2025-12-29T13:19:40.8137661+05:00,,0,0,0,13,12,2550,0,746108
2025-12-29T13:19:50.9760857+05:00,,0,0,0,13,15,2565,0,748601
2025-12-29T13:20:01.0968407+05:00,,0,0,0,13,15,2580,0,751092
2025-12-29T13:20:11.2436045+05:00,,0,0,0,13,15,2595,0,753584
2025-12-29T13:20:21.3529481+05:00,,0,0,0,13,12,2607,0,755577
2025-12-29T13:22:48.9951185+05:00,session_start,ultra_aggressive,BTCUSD#,PID=12900 Live mode MT5 connected
2025-12-29T13:22:58.9874543+05:00,12900,0,85.89,13,13,2619,2619,0,762678
2025-12-29T13:23:29.2715915+05:00,12900,0.703,84.3,0,13,0,2619,0,763618
2025-12-29T13:23:50.1153252+05:00,config_update,ultra_aggressive,BTCUSD#,Changed to M1 timeframe PID=20532
2025-12-29T13:23:59.4255904+05:00,20532,0,86.41,0,13,0,2619,0,768250
2025-12-29T13:24:29.5382615+05:00,,0,0,0,13,0,2619,0,768720
2025-12-29T13:24:59.6592944+05:00,,0,0,0,13,0,2619,0,768720
2025-12-29T13:25:29.7740740+05:00,,0,0,0,13,0,2619,0,768720
2025-12-29T13:25:59.8808450+05:00,16504,0,86.49,0,13,0,2619,0,773606
2025-12-29T13:26:29.9799479+05:00,16504,0.578,87.31,0,13,0,2619,0,774739
2025-12-29T13:27:00.1004629+05:00,11428,0,85.82,0,13,0,2619,0,779724
2025-12-29T13:27:30.2280806+05:00,11428,0.438,87.08,0,13,0,2619,0,780664
2025-12-29T13:28:00.3295323+05:00,16284,0,86.72,0,13,0,2619,0,786119
2025-12-29T13:28:30.4536495+05:00,16284,0.609,86.3,0,13,0,2619,0,787059
2025-12-29T13:29:00.5712852+05:00,13264,0,85.98,0,13,0,2619,0,791851
2025-12-29T13:29:30.7145303+05:00,13264,0.453,86.19,0,13,0,2619,0,792984
2025-12-29T13:30:00.8374815+05:00,12652,0,91.14,0,13,2,2621,0,798373
2025-12-29T13:30:03.9881903+05:00,rpc_trade_success,ultra_aggressive,BTCUSD#,First RPC trade executed ticket=600994186 price=89796.40
2025-12-29T13:30:30.9432904+05:00,12652,0.703,92.33,0,13,2,2623,0,807013
2025-12-29T13:31:01.0534678+05:00,12652,0.953,93.73,0,13,0,2623,0,809377
2025-12-29T13:31:31.1650641+05:00,12652,1.141,90.24,0,13,0,2623,0,810317
2025-12-29T13:32:01.3002912+05:00,12652,1.578,90.15,0,13,0,2623,0,811419
2025-12-29T13:32:31.4170348+05:00,12652,1.828,91.23,0,13,0,2623,0,812365
2025-12-29T13:33:01.5331802+05:00,12652,2.125,90.39,0,13,0,2623,0,813431
2025-12-29T13:33:31.6415545+05:00,12652,2.453,90.55,0,13,0,2623,0,814377
2025-12-29T13:34:01.7785589+05:00,,0,0,0,13,0,2623,0,815323
2025-12-29T13:34:31.9259769+05:00,,0,0,0,13,0,2623,0,815323
2025-12-29T13:35:02.0556924+05:00,19428,0,89.87,0,13,2,2625,0,820237
2025-12-29T13:35:32.1749340+05:00,19428,0.516,91.91,0,13,2,2627,0,826039
2025-12-29T13:35:58.9404662+05:00,phase1_complete,ultra_aggressive,BTCUSD#,20/20 trades OK - 100% success rate
2025-12-29T13:36:02.3399028+05:00,19428,0.844,92.28,0,13,0,2627,0,829471
2025-12-29T13:36:32.4745720+05:00,19428,1.203,92.57,0,13,0,2627,0,840379
2025-12-29T13:37:02.6062850+05:00,19428,1.766,90.74,0,13,0,2627,0,849151
2025-12-29T13:37:07.7758342+05:00,phase2_complete,ultra_aggressive,BTCUSD#,50/50 trades OK - 100% success rate @ 2/sec
2025-12-29T13:37:32.7229210+05:00,19428,1.953,94.24,0,13,0,2627,0,860580
2025-12-29T13:38:02.8395894+05:00,19428,2.125,90.98,0,13,0,2627,0,872682
